title,"price(""$"")",7-day sales,total_sales,total_reviews,7-day reviews,total_favorites,7-day favorites,tags,Ship From,release time,Best Seller,Etsy pick,Raving,store name,product_url
"First Day of School Sign, Back to School Chalkboard, Reusable 1st Day Board, Last Day, Kindergarten, First Grade, Preschool, Ruler, BloomOwl ",31.99,126,448,86,24,480,26,"first day of school,back to school,chalkboard sign,school sign,personalized,kindergarten,preschool Pre K,school board,1st Day of School,Last Day of School,School Photo Prop,first second third,Reusable Sign",United States,2023-07-31,yes,no,no,BloomOwl,https://www.etsy.com/listing/1520434076/first-day-of-school-sign-back-to-school
DnD Spell Cards BUNDLE | All Cantrips to Level 9 Illustrated cards | Dungeons and Dragons 5e | d&d Spellbook | Tarrot size cards ,33.57,73,167,36,3,611,63,"Dnd spell cards,Dm props download,beginner dnd5e help,character sheet pdf,spellbook wizard,dnd spellcards 5e,deck of many things,dungeons and dragons,d and d art,illustrated cards 5e,tasha volo xanathars,dnd printables prop,dnd gift accessory",United States,2023-06-13,yes,no,no,DemiDice,https://www.etsy.com/listing/1487812116/dnd-spell-cards-bundle-all-cantrips-to
"Low Sew Bee PDF, Crochet Instructions ",4.25,70,1391,201,9,800,11,"Kaytedids,bee,crochet bee,low sew,no sew",United States,2023-06-12,yes,no,no,KayteDids,https://www.etsy.com/listing/1501380379/low-sew-bee-pdf-crochet-instructions
The Disappointment Set | RPG Set of 7 Unmatched Dice | Each Die Is  ,5.75,57,591,202,17,2476,120,"b grade,brown,dice,grey gray,joke,mystery pull,polyhedral 7",United States,2023-03-29,yes,no,no,ViridianDice,https://www.etsy.com/listing/1435205382/the-disappointment-set-rpg-set-of-7
Sage’s Enchanted Cat Dice Tray | For DnD Dice Set Dungeons Dragons D&D Games RPG TTRPG ,6.95,55,373,165,14,2379,265,"polyhedral dice,dungeons and dragons,rpg,roleplaying games,sages portal,dnd dice,dice tray,crazy horse,leather dice tray,oiled leather,cow hide,gift,luxury dice tray",United States,2023-06-09,yes,no,no,SagesPortal,https://www.etsy.com/listing/1499451719/sages-enchanted-cat-dice-tray-o-for-dnd
"MTG Fan Made Ability Counter Tokenss, LOTR inspired- Single Sided ",1.0,40,134,43,2,161,3,"Burden,hope,food,Orc,Orcs,Ring,Magic the gathering,MTG,token,upgrade,counter",United States,2023-06-17,yes,no,no,ByYourCommand,https://www.etsy.com/listing/1505179365/mtg-fan-made-ability-counter-tokenss
NEW RELEASE - Part 2 - Mini Brands Series 5 ,0.2,33,275,115,0,117,4,"collectibles,doll mini food,mini toys,mini shop,miniature toys,doll accessories,toyfood",United States,2023-05-21,yes,no,no,MinisAreUs,https://www.etsy.com/listing/1486934893/new-release-part-2-mini-brands-series-5
Magic Glow Crystal Wing Baby Dragon Fidget Toy - Articulated Dragon - 3D Printed ,10.0,31,498,48,3,2314,204,"Glow in the dark,Gift for her,3d printed,articulated dragon,baby dragons,gift for him,gift,dragon gift,3d printed dragon,crystal wing dragon,baby crystal dragon,dragon,flying dragon",United States,2023-05-24,yes,no,no,DukemanDesigns,https://www.etsy.com/ca/listing/1489105055/magic-glow-crystal-wing-baby-dragon
White Baby Owlbear Plushie - D&D 5e Tabletop Gaming Dice Stuffed Toy by Baby Bestiary ,34.99,30,277,52,10,1950,388,"DND,Dungeons and Dragons,Monster,Plush,Cotton,Polyester,Stuffed,Owlbear,Gaming,Toy,Child,Cute,Winter",United States,2023-03-28,yes,no,no,DoDragaoGaming,https://www.etsy.com/listing/1449153223/white-baby-owlbear-plushie-dd-5e
"Textured GyroFidget Spinner: Discreet, Quiet & Stress-Relieving Sensory Fidget ",5.0,30,362,45,3,555,140,"autism stim toy,adhd fidget toy,fidget stim toy,Gyro Fidget Toy,Gyroscope Stim Toy,Stim Toy,finger fidget,stim spinner,tiktok fidget,quiet fidget,fidget,edc fidget,silent fidget",United States,2023-04-03,yes,no,no,KahnCreationsStudio,https://www.etsy.com/listing/1453184725/textured-gyrofidget-spinner-discreet
Custom Reward Jar with Tokens Classroom Teacher Star Jar Chore Chart Gifts for Kids Fridge Wood and Acrylic Engraved Personalized Name ,5.0,30,1328,211,31,1454,182,"Token Chart,Chore Chart,Teacher Gift,Reward Jar,Good Behavior,Learning,Back To School,Custom Name Sign,Room Decor,Classroom Decor,Baby Shower Gifts,Name Puzzle,Potty Training",United States,2023-04-06,yes,no,no,JadedCreations2022,https://www.etsy.com/listing/1441071330/custom-reward-jar-with-tokens-classroom
"Funny Golf Balls, Personalized Golf Balls, Custom Golf Balls, Christmas Gift, Golf Gifts for Men, Guy Gift, Funny Gift for Man, ",8.0,29,137,21,3,203,27,"custom golf balls,golf balls,golf,funny golf balls,custom golf,golf gifts,groomsmen golf balls,dirty golf balls,dad gift,golf gifts for men,guy gift,men gifts,golfer gifts,bachelor party favor,fathers day gift,golfer gift,personalized golf,boyfriend gift,customized golf",United States,2023-06-23,yes,no,no,LaserPrintCo,https://www.etsy.com/listing/1494910004/funny-golf-balls-personalized-golf-balls
D&D Deck of Many Things: The Physical Manifestation Deck ,15.0,27,77,27,8,993,119,"deck of many things,dnd,dnd magic item,dungeon master,dnd card deck,dnd accessories,dnd cards,dungeons and dragons,Rider-Waite Smith,wondrous things,tarot size card deck,magic dnd cards,illustrated dnd",United States,2023-07-10,yes,no,no,gmdice,https://www.etsy.com/listing/1506314784/dd-deck-of-many-things-the-physical
Pumpkin Spice Latte Plush Crochet PATTERN - Amigurumi ,4.26,27,171,36,10,366,60,"crochet pattern,amigurumi,amigurumi pattern,pumpkin spice latte,psl plush,pumpkin crochet,fall crochet pattern,fall amigurumi,pumpkin amigurumi,cute amigurumi,crochet latte,crochet dessert",United States,2023-08-16,yes,no,no,TheWonderCrochet,https://www.etsy.com/listing/1545806119/pumpkin-spice-latte-plush-crochet
Cute 3D Printed Axolotl Fidget Toy / Flexible Articulating Sensory Pet Axolotl 3D Print Toy Made To Order ,8.78,27,283,59,2,1327,115,"axolotl,baby axolotl,3d printed axolotl,fidget toy,cute axolotl,axolotl plush,axolotl keychain,axolotl earrings,axolotl 3d print,sensory toys,axolotl figurine,3d printed animals,axolotl binkies",United States,2023-04-29,yes,no,no,WickedSick3D,https://www.etsy.com/listing/1471474559/cute-3d-printed-axolotl-fidget-toy
"Enchanted Hive, DIY Slime, Clay Slime, Jelly Slime, Slime Kit, Spring Slime, Easter Gift For Kids ",16.59,26,444,101,3,2198,55,"snow slime,jelly slime,easter slime,easter gift for kids,diy slime kit,clay slime,birthday gift ideas,inflating slime,spring gift ideas,bestselling Slime,slime,bee slime,honeycomb slime",United States,2023-03-25,yes,no,no,ACraftyMonkey,https://www.etsy.com/listing/1432095874/enchanted-hive-diy-slime-clay-slime
Magic Glow Baby Axolotl Fidget Toy - Articulated Axolotl ,7.0,25,500,60,1,1822,113,"Glow axolotl toy,Axolotl,Adult fidget toys,Baby axolotl,Fidget toy for kids,Axolotl birthday,articulated axolotl,Smiling axolotl,Glow in the dark,Axolotl plush,3D print,Gift for her,axolotl lover",United States,2023-03-30,yes,no,no,DukemanDesigns,https://www.etsy.com/listing/1450160833/magic-glow-baby-axolotl-fidget-toy
Dreamy Multi pocket dice bag. Transportable dice storage for TTRPG dice and miniatures. D20 Crescent moon and clouds embroidered dice bag ,22.0,24,391,130,7,2179,41,"dice bag,dice,role playing game,dice bags,fantasy gaming,dungeons and dragons,gaming accessory,table top games,pocket dice bag,large dice bag,druid dice bag,green dice bag,table top accessory",United States,2023-03-27,yes,no,no,FennekandFinch,https://www.etsy.com/listing/1433929100/dreamy-multi-pocket-dice-bag
"Yuriko, the Tiger's Shadow - Complete Commander Proxy Deck (cEDH) with 108 Cards and Bonus Cards - Ready to Play MTG Ninja Anime Deck ",59.96,24,646,65,3,691,35,"Magic the Gathering,custom magic card,mtg gifts,commander staples,proxy commander deck,dual lands,fetch lands,anime tokens,yuriko tigers shadow,mtg proxy anime,mtg proxy waifu,wilhelt rotcleaver,anime ninja deck",United States,2023-03-19,yes,no,no,LiquidLuckGaming,https://www.etsy.com/listing/1442165303/yuriko-the-tigers-shadow-complete
Grinders ,12.0,24,245,59,2,738,39,"squishy,tactile,silicone,fidget,toy,stress,anxiety,grinder",United States,2023-04-02,yes,no,no,MandMArtsLLC,https://www.etsy.com/listing/1452426217/grinders
NEW RELEASE - Part 1 - Mini Brands Series 5 ,0.2,24,216,105,1,79,0,"collectibles,doll mini food,mini toys,mini shop,miniature toys,doll accessories,toyfood",United States,2023-05-21,yes,no,no,MinisAreUs,https://www.etsy.com/listing/1472740272/new-release-part-1-mini-brands-series-5
BIG Winged Axolotl 3D Print Dragon / 3D Printed Articulated Axolotl Dragon Long Flexi Fidget Toy / Cute Axolotl Dragon Figurine / ,16.79,23,252,32,7,1332,138,"axolotl,dragon,3d printed,articulated dragon,3d printed animal,axolotl gifts,rainbow dragon,rainbow axolotl,axolotl toy,fursuit,axolotl 3d print,axolotl plush",United States,2023-06-08,yes,no,no,WickedSick3D,https://www.etsy.com/listing/1484403086/big-winged-axolotl-3d-print-dragon-3d
Preschool Curriculum | 1000+ Preschool Workbook with Preschool worksheets ,2.9,22,1167,112,14,1292,87,"preschool worksheets,preschool curriculum,preschool,preschool printables,pre k worksheets,kindergarten,homeschool,kids activities,worksheets for kids,preschool workbook,learning worksheets,prek worksheets,pre school busy book,pre school learning,learning activities,toddler learning,printable activities,preschool activities,letter tracing,busy book,preschool math",United States,2023-04-30,yes,no,no,TheLuckyPrinter,https://www.etsy.com/listing/1457712822/preschool-curriculum-1000-preschool
"Mini Shark plushie, Crochet mini Shark, Crochet Shark , Shark gift, Gift For Kids, crochet animal, Tween Gift, desk pets, pocket pet ",6.0,20,334,61,1,1342,49,"mini shark,shark plushie,shark,mini plushie,pocket pet,desk pet,chunky crochet,gift for tween girl,gift for girl,gift for kids,crochet animals,stuffed animal",United States,2023-04-05,yes,no,no,DesignsByTheC,https://www.etsy.com/listing/1440196986/mini-shark-plushie-crochet-mini-shark
DUO Hatching Cow & Low Sew Cow PDF ,8.0,20,1566,227,3,560,6,"Kaytedids,cow,low sew,crochet cow,crochet,kaytedids cow,kaytedids pattern",United States,2023-04-14,yes,no,no,KayteDids,https://www.etsy.com/listing/1460836793/duo-hatching-cow-low-sew-cow-pdf
"No Sew Chonky Axolotl Crochet Pattern, Amigurumi Instructions, Animal Crochet Pattern, Birthday Gift, Quick Pattern ",3.95,20,662,172,6,1075,35,"quick,blanket yarn,plush,crochet,stuffed animal,crochet pattern,plushie,amigurumi,moms stitchetti,no sew,axolotl,crochet axolotl",United States,2023-06-12,yes,no,no,Momsstitchetti,https://www.etsy.com/listing/1501531367/no-sew-chonky-axolotl-crochet-pattern
"24 day Elf Kit 2023, Christmas Elf Activities Kit, Elf Props, Pre-planned Elf Props, 24 days of Elf Activities, Christmas Elves, Elf Arrival ",65.0,19,687,38,30,1327,173,"Christmas elf,elf props,christmas props,24 days elf,elf kit 2023,elf antics,elf kit for two kids,elf activity kit,elf accessories,elf staging,planned elf days,ultimate elf kit,Christmas elfin",United States,2023-04-15,yes,no,no,MakingStuffMagical,https://www.etsy.com/listing/1461506381/24-day-elf-kit-2023-christmas-elf
Balance Bringer | C27 | 3D Printed Miniature ,5.99,19,45,12,0,134,5,"Lightsaber Figure,SW Legion,Shatterpoint Legion,Darth Vader,Anakin",United States,2023-06-22,yes,no,no,OmniForged,https://www.etsy.com/listing/1494159672/balance-bringer-c27-3d-printed-miniature
"Kitty Cookies, DIY slime kit, clay,scented slime, snowfizz slime, slushie slime, gifts for kids, slime shops, easter slimes, crunchy slime ",15.29,18,383,53,1,2473,64,"Diy slime,Slime kit,Kitty slime,Crunchy slime,Slime shops,Free shipping slime,Slime,Scented,Butter slime,Birthday gift slime,Kids gift ideas,Kitty cookies,Karina garcia slimes",United States,2023-03-28,yes,no,no,BluBerrySlimeCo,https://www.etsy.com/listing/1434361222/kitty-cookies-diy-slime-kit-clayscented
Brown Baby Owlbear Plushie - D&D 5e Tabletop Gaming Dice Stuffed Toy by Baby Bestiary ,34.99,18,210,18,3,1082,193,"DND,Dungeons and Dragons,Monster,Plush,Cotton,Polyester,Stuffed,Owlbear,Gaming,Toy,Child,Cute,Forest",United States,2023-03-28,yes,no,no,DoDragaoGaming,https://www.etsy.com/listing/1449153205/brown-baby-owlbear-plushie-dd-5e
Newt the Alligator Crochet Pattern PDF Download ,5.75,18,427,115,3,2015,35,"sweetcremesco,plushie,Crochet,Pattern,low sew,Easter,Sweet Cremes Co,Newt,Alligator,Gator,Crocodile,Croc",United States,2023-04-20,yes,no,no,SweetCremesCo,https://www.etsy.com/listing/1450791230/newt-the-alligator-crochet-pattern-pdf
"Low Sew Tall Birds Crochet Pattern Bundle, Flamingo, Ostrich, Stork, Amigurumi Instructions, Crochet Plushie, Birthday Gift ",6.95,17,140,64,1,608,8,"crochet instructions,plush,crochet,stuffed animal,crochet pattern,plushie,amigurumi,crochet flamingo,crochet ostrich,crochet stork,low sew,baby shower",United States,2023-05-02,yes,no,no,Momsstitchetti,https://www.etsy.com/listing/1459037984/low-sew-tall-birds-crochet-pattern
Multiple Flags Custom Pride Bat Plushies /READ DESCRIPTION / hand made plush lgbtqia queer Pride ,47.0,17,208,32,2,1525,59,"aromatic,transgender,GenderFluid,bat plushie,custom bat,gay,pride bat,pride,lesbian,plush bat,bat plush,hand made,plushie",United States,2023-03-31,yes,no,no,SkyeBluez,https://www.etsy.com/listing/1451502105/multiple-flags-custom-pride-bat-plushies
